"Year","LEA","LEA Name","PublicSeniorInstitutions","PrivateSeniorInstitutions","CommunityTechnicalCollege","PrivateJuniorInstitutions","TradeBusinessNursing","Other","Total"
"2023","39A","Falls Lake Academy","        30","         7","        22","-","-","        16","        75"
"2023","39B","Oxford Preparatory School","        27","         7","        11","-","-","*","        49"
"2023","400","Greene County Schools","        50","        15","        73","*","         5","        68","       212"
"2023","410","Guilford County Schools","     2,261","       407","     1,426","         6","        59","     1,246","     5,405"
"2023","41F","Triad Math and Science Academy","        71","-","-","-","-","-","        71"
"2023","41G","Cornerstone Charter Academy","        40","        18","        23","-","-","         8","        89"
"2023","41H","The College Preparatory and Leadership A","        15","*","         6","-","-","*","        25"
"2023","41K","Piedmont Classical High School","        32","        13","        14","-","*","         9","        70"
"2023","420","Halifax County Schools","        26","         7","        30","*","*","        95","       165"
"2023","421","Roanoke Rapids City Schools","        60","        17","        53","*","-","        64","       195"
"2023","422","Weldon City Schools","        23","*","        13","-","-","        13","        53"
"2023","430","Harnett County Schools","       328","        57","       545","*","*","       444","     1,377"
"2023","440","Haywood County Schools","       124","        26","       186","-","         5","       158","       499"
"2023","450","Henderson County Schools","       296","        71","       360","*","*","       289","     1,019"
"2023","460","Hertford County Schools","        79","        12","        35","-","*","        66","       196"
"2023","470","Hoke County Schools","       162","        19","       146","*","         5","       232","       565"
"2023","480","Hyde County Schools","         9","*","        19","-","-","*","        32"
"2023","490","Iredell-Statesville Schools","       563","       150","       534","-","*","       424","     1,675"
"2023","491","Mooresville Graded School District","       164","        60","       115","*","        23","       133","       497"
"2023","49E","Pine Lake Preparatory","       129","        15","        16","-","-","*","       163"
"2023","49F","Langtree Charter Academy","        28","        13","        30","*","-","        10","        82"
"2023","500","Jackson County Public Schools","        76","        14","        97","-","*","        80","       268"
"2023","50A","Summit Charter","         6","-","-","-","*","*","        10"
"2023","510","Johnston County Public Schools","       869","       145","     1,174","*","        16","       730","     2,937"
"2023","51A","Neuse Charter School","        22","        10","        20","-","-","         5","        57"
"2023","520","Jones County Schools","        14","         7","        28","-","-","        28","        77"
"2023","530","Lee County Schools","       121","        30","       244","*","        44","       279","       720"
"2023","53B","Ascend Leadership Academy: Lee County","        10","*","        17","-","-","*","        32"
"2023","540","Lenoir County Public Schools","       140","        25","       254","*","-","       138","       558"
"2023","550","Lincoln County Schools","       259","        89","       344","*","        16","       176","       886"
"2023","55A","Lincoln Charter School","        75","        24","        32","-","*","        18","       153"
"2023","560","Macon County Schools","        90","        25","        84","*","        10","       108","       319"
"2023","570","Madison County Schools","        46","        20","        34","-","-","        51","       151"
"2023","580","Martin County Schools","        27","*","        74","-","-","        34","       136"
"2023","58B","Bear Grass Charter School","        11","         6","        33","-","-","*","        52"
"2023","590","McDowell County Schools","        54","        11","       142","*","-","       163","       371"
"2023","600","Charlotte-Mecklenburg Schools","     3,938","       790","     2,933","        20","       178","     2,191","    10,050"
"2023","60B","Sugar Creek Charter","        35","         7","        10","-","*","        11","        64"
"2023","60D","Lake Norman Charter","       132","        15","        33","-","*","         5","       187"
"2023","60G","Queen's Grant Community School","        23","        20","        39","-","-","        42","       124"
"2023","60I","Community School of Davidson","        96","        24","        13","-","*","*","       140"
"2023","60K","Charlotte Secondary School","         7","*","        24","-","-","         6","        40"
"2023","60M","Corvian Community School","        48","        13","        27","-","-","        13","       101"
"2023","60Q","Invest Collegiate","*","         7","-","-","*","-","        13"
"2023","60S","Bradford Preparatory School","        42","        17","        34","*","-","*","        95"
"2023","60U","Commonwealth High School","-","-","        85","-","-","-","        85"
"2023","610","Mitchell County Schools","        32","         8","        54","-","*","        35","       130"
"2023","61L","Stewart Creek High School","-","-","        58","-","-","*","        62"
"2023","61N","Queen City STEM School","         7","-","*","-","-","-","        10"
"2023","61X","Jackson Day School","-","-","-","-","-","*","*"
"2023","620","Montgomery County Schools","        61","*","       104","-","-","        98","       267"
"2023","630","Moore County Schools","       312","        74","       445","-","        21","       204","     1,056"
"2023","63B","Sandhills Theatre Arts Renaiss","-","-","         8","-","-","*","        12"
"2023","640","Nash County Public Schools","       207","        47","       524","        15","         6","       281","     1,080"
"2023","64A","Rocky Mount Preparatory","        14","-","        23","-","-","        15","        52"
"2023","650","New Hanover County Schools","       719","       141","       681","-","        10","       397","     1,948"
"2023","65G","Girls Leadership Academy of Wilmington","        24","         8","        16","*","-","*","        52"
"2023","660","Northampton County Schools","        24","         6","        11","-","-","        60","       101"
"2023","66A","KIPP Gaston College Preparatory","        44","         8","        15","-","-","        20","        87"
"2023","670","Onslow County Schools","       502","        74","       574","*","        31","       652","     1,834"
"2023","680","Orange County Schools","       203","        57","       165","*","*","       132","       562"
"2023","681","Chapel Hill-Carrboro City Schools","       477","       189","       138","         9","*","       112","       926"
"2023","68A","Eno River Academy","        32","        12","        26","-","*","*","        75"
"2023","690","Pamlico County Schools","        23","*","        63","-","-","        26","       115"
"2023","69A","Arapahoe Charter School","*","*","        11","-","*","         8","        25"
"2023","700","Elizabeth City-Pasquotank Public Schools","       107","        17","        72","-","         5","        93","       294"
"2023","70A","Northeast Academy of Aerospace & AdvTech","-","-","        77","-","-","-","        77"
