"Year","LEA","LEA Name","PublicSeniorInstitutions","PrivateSeniorInstitutions","CommunityTechnicalCollege","PrivateJuniorInstitutions","TradeBusinessNursing","Other","Total"
"2019","13A","Carolina International School","        14","         8","        15","-","*","        11","        50"
"2019","13B","Cabarrus Charter Academy","-","-","*","-","-","*","*"
"2019","140","Caldwell County Schools","       185","        85","       418","*","*","       190","       884"
"2019","150","Camden County Schools","        34","        15","        51","-","         5","        36","       141"
"2019","160","Carteret County Public Schools","       192","        65","       252","*","*","       102","       617"
"2019","170","Caswell County Schools","        47","        17","        87","-","*","        35","       189"
"2019","180","Catawba County Schools","       298","       162","       455","*","        20","       271","     1,209"
"2019","181","Hickory City Schools","        87","        37","        99","*","*","        49","       276"
"2019","182","Newton Conover City Schools","        51","        41","       107","*","*","        40","       241"
"2019","190","Chatham County Schools","       199","        51","       276","-","         6","        99","       631"
"2019","19A","Chatham Charter","        15","        10","         9","-","*","*","        38"
"2019","19B","Woods Charter School","        31","         8","         5","-","-","*","        45"
"2019","200","Cherokee County Schools","        59","        23","       110","-","-","        88","       280"
"2019","210","Edenton-Chowan Schools","        63","        21","        48","-","-","        13","       145"
"2019","220","Clay County Schools","        18","        11","        27","-","-","        17","        73"
"2019","230","Cleveland County Schools","       239","       129","       432","*","        26","       279","     1,109"
"2019","240","Columbus County Schools","       125","        11","       211","-","-","       108","       455"
"2019","241","Whiteville City Schools","        39","        15","        90","-","-","        29","       173"
"2019","24B","Flemington Academy","*","*","         9","-","-","*","        16"
"2019","250","Craven County Schools","       281","        76","       340","         6","*","       258","       965"
"2019","260","Cumberland County Schools","     1,488","       242","     1,014","        13","        17","       891","     3,665"
"2019","270","Currituck County Schools","       105","        16","        69","-","*","       107","       300"
"2019","280","Dare County Schools","       166","        37","       104","-","*","        57","       366"
"2019","290","Davidson County Schools","       417","       136","       551","         5","        21","       266","     1,396"
"2019","291","Lexington City Schools","        88","*","        58","-","-","        31","       180"
"2019","292","Thomasville City Schools","        35","         5","        37","-","*","        78","       158"
"2019","298","Deaf and Blind Schools","-","-","         6","-","-","*","         8"
"2019","300","Davie County Schools","       158","        46","       132","-","*","        91","       428"
"2019","310","Duplin County Schools","       123","        49","       290","*","         6","       152","       624"
"2019","320","Durham Public Schools","       896","       216","       759","        12","        23","       508","     2,414"
"2019","32L","Voyager Academy","        47","        16","        26","*","-","         5","        96"
"2019","32N","Research Triangle High School","-","       122","-","-","-","*","       123"
"2019","330","Edgecombe County Public Schools","       102","        23","       179","*","*","        94","       403"
"2019","33A","North East Carolina Preparatory School","         7","*","        30","-","-","         6","        45"
"2019","340","Winston Salem/Forsyth County Schools","     1,505","       403","     1,204","        14","        41","       731","     3,898"
"2019","34B","Quality Education Academy","        22","         9","-","-","-","*","        32"
"2019","34D","Carter G Woodson School","        11","-","        11","-","-","*","        24"
"2019","34H","The North Carolina Leadership Academy","        28","*","        10","-","-","         5","        45"
"2019","350","Franklin County Schools","       187","        52","       227","        13","*","       166","       648"
"2019","360","Gaston County Schools","       622","       185","       793","         8","        34","       566","     2,208"
"2019","36B","Piedmont Community Charter","        19","*","        26","-","*","        13","        64"
"2019","36C","Mountain Island Charter","        60","        20","        37","-","-","        11","       128"
"2019","370","Gates County Schools","        27","         9","        44","-","-","        34","       114"
"2019","380","Graham County Schools","        18","        11","         8","-","*","        31","        69"
"2019","390","Granville County Schools","       116","        46","       249","         5","         7","       124","       547"
"2019","39A","Falls Lake Academy","        31","*","        15","        10","-","*","        59"
"2019","39B","Oxford Preparatory High School","        19","         7","        20","*","-","         6","        53"
"2019","400","Greene County Schools","        45","        11","       130","*","*","        53","       243"
"2019","410","Guilford County Schools","     2,275","       552","     1,624","        26","        50","       956","     5,483"
"2019","41F","Triad Math and Science Academy","        31","         8","        19","-","*","        10","        69"
"2019","41G","Cornerstone Charter Academy","        31","         6","        20","*","*","         8","        67"
"2019","41H","The College Preparatory and Leadership A","-","*","*","-","-","-","*"
"2019","41K","Piedmont Classical High School","        23","        18","        18","-","*","*","        66"
"2019","420","Halifax County Schools","        34","         8","        51","-","-","        75","       168"
"2019","421","Roanoke Rapids City Schools","        52","        38","        89","*","*","        65","       247"
"2019","422","Weldon City Schools","        47","        11","        11","*","*","         8","        79"
"2019","430","Harnett County Schools","       366","        84","       693","*","*","       338","     1,487"
"2019","440","Haywood County Schools","       149","        34","       202","*","         6","       147","       539"
"2019","450","Henderson County Schools","       289","        72","       399","*","         5","       198","       965"
"2019","460","Hertford County Schools","        57","        27","        46","*","*","        50","       185"
"2019","470","Hoke County Schools","       183","        29","       127","-","*","       218","       559"
"2019","480","Hyde County Schools","        14","         5","         8","-","*","        15","        44"
"2019","490","Iredell-Statesville Schools","       557","       144","       545","         8","         9","       374","     1,637"
"2019","491","Mooresville Graded School District","       167","        65","        88","         8","         7","       167","       502"
"2019","49E","Pine Lake Preparatory","       101","        24","        16","-","*","        11","       153"
"2019","49F","Langtree Charter Academy","*","-","         8","-","-","*","        13"
"2019","500","Jackson County Public Schools","       123","         9","        94","-","*","        53","       283"
"2019","510","Johnston County Schools","       686","       216","     1,203","         7","         7","       663","     2,782"
"2019","51A","Neuse Charter School","        19","        14","        20","-","-","         9","        62"
"2019","520","Jones County Schools","        13","*","         9","-","-","        39","        65"
"2019","530","Lee County Schools","       152","        38","       286","*","        15","       203","       698"
"2019","540","Lenoir County Public Schools","       103","        27","       334","*","-","       138","       605"
"2019","550","Lincoln County Schools","       230","        87","       367","*","         9","       172","       867"
"2019","55A","Lincoln Charter School","        73","        32","        32","-","*","        14","       152"
"2019","560","Macon County Schools","       114","        11","       118","-","        15","        90","       348"
"2019","570","Madison County Schools","        40","        19","        52","-","-","        65","       176"
"2019","580","Martin County Schools","        50","        19","        61","-","-","        44","       174"
"2019","58B","Bear Grass Charter School","        11","         6","        30","-","-","        10","        57"
"2019","590","McDowell County Schools","        92","        29","       173","*","*","       109","       408"
"2019","600","Charlotte-Mecklenburg Schools","     3,949","       810","     3,243","        26","        99","     1,792","     9,919"
"2019","60B","Sugar Creek Charter","        17","        12","*","*","-","*","        35"
"2019","60D","Lake Norman Charter","       128","        21","        35","-","-","*","       187"
"2019","60G","Queens Grant Community School","        34","*","        92","-","-","*","       129"
"2019","60I","Community School of Davidson","        79","        28","        15","-","-","         5","       127"
"2019","60K","Charlotte Secondary School","        12","*","        26","*","*","         7","        51"
"2019","60S","Bradford Preparatory School","        13","         7","        12","-","-","*","        34"
"2019","60U","Commonwealth High School","-","-","       100","-","-","         5","       105"
"2019","60V","Charlotte Learning Academy","        17","-","        11","-","-","         7","        35"
"2019","610","Mitchell County Schools","        37","         7","        42","-","-","        34","       120"
"2019","61L","Stewart Creek High School","-","-","        61","-","-","        17","        78"
"2019","61X","Mountain Island Day School","*","-","*","-","-","-","*"
"2019","620","Montgomery County Schools","        58","        19","       148","*","-","        85","       314"
"2019","630","Moore County Schools","       256","        83","       496","*","         7","       155","     1,000"
"2019","640","Nash-Rocky Mount Schools","       240","        81","       518","         8","         5","       218","     1,070"
"2019","64A","Rocky Mount Preparatory","        24","*","        38","-","-","*","        65"
"2019","650","New Hanover County Schools","       654","       135","       805","*","*","       299","     1,900"
"2019","660","Northampton County Schools","        19","         8","        42","*","-","        56","       126"
"2019","66A","Gaston College Preparatory","        41","        16","         5","-","-","*","        64"
"2019","670","Onslow County Schools","       441","       138","       634","         8","        16","       533","     1,770"
"2019","680","Orange County Schools","       193","        49","       169","*","         5","       117","       534"
"2019","681","Chapel Hill-Carrboro City Schools","       451","       229","       148","*","         5","        88","       922"
"2019","68A","Orange Charter","        10","*","        10","-","*","*","        27"
"2019","690","Pamlico County Schools","        24","         6","        39","*","-","        26","        96"
"2019","69A","Arapahoe Charter School","*","         6","        16","-","-","        10","        36"
"2019","700","Elizabeth City-Pasquotank Public Schools","       140","        18","       116","*","*","        95","       371"
"2019","70A","Northeast Academy of Aerospace & AdvTech","        27","*","        16","-","-","*","        50"
"2019","710","Pender County Schools","       200","        42","       354","-","-","       157","       753"
"2019","720","Perquimans County Schools","        63","*","        29","-","-","        12","       105"
"2019","730","Person County Schools","        86","        12","       112","-","-","        84","       294"
"2019","73B","Roxboro Community School","        29","        14","        32","-","-","        13","        88"
"2019","740","Pitt County Schools","       560","        61","       813","         5","*","       222","     1,665"
"2019","750","Polk County Schools","        46","        14","        55","-","-","        38","       153"
"2019","760","Randolph County School System","       272","       107","       560","*","        19","       234","     1,193"
"2019","761","Asheboro City Schools","        64","        33","       133","-","*","        70","       301"
"2019","76A","Uwharrie Charter Academy","        28","        12","        53","*","-","        38","       132"
"2019","770","Richmond County Schools","       168","        27","       143","*","*","       128","       473"
"2019","780","Public Schools of Robeson County","       630","        32","       406","*","*","       455","     1,529"
"2019","790","Rockingham County Schools","       305","        42","       376","*","*","       206","       932"
"2019","800","Rowan-Salisbury Schools","       282","       184","       444","*","        15","       467","     1,394"
"2019","810","Rutherford County Schools","       109","        41","       345","*","        12","       114","       623"
"2019","81A","Thomas Jefferson Classical Academy","        25","        18","        20","-","-","         5","        68"
"2019","81B","Lake Lure Classical Academy","*","*","        16","-","-","        10","        31"
"2019","820","Sampson County Schools","       107","        71","       228","-","*","       192","       601"
"2019","821","Clinton City Schools","        71","        34","        55","-","         5","        32","       197"
"2019","830","Scotland County Schools","       107","        11","        88","*","*","       114","       322"
"2019","840","Stanly County Schools","       132","        83","       247","*","        12","       211","       687"
"2019","84B","Gray Stone Day School","        54","        32","        18","-","-","*","       105"
"2019","850","Stokes County Schools","        94","        43","       203","*","        10","        82","       433"
"2019","860","Surry County Schools","       105","        35","       253","*","-","       177","       571"
"2019","861","Elkin City Schools","        18","         7","        42","-","-","        13","        80"
"2019","862","Mount Airy City Schools","        44","        14","        65","-","-","        24","       147"
"2019","86T","Millennium Charter Academy","         5","*","        18","-","-","*","        26"
"2019","870","Swain County Schools","        28","*","        62","*","-","        24","       119"
"2019","880","Transylvania County Schools","        46","        41","       115","-","*","        52","       257"
"2019","890","Tyrrell County Schools","         8","*","        27","*","-","*","        41"
"2019","900","Union County Public Schools","     1,543","       469","       792","*","        36","       524","     3,367"
"2019","90A","Union Academy Charter School","        51","        21","        36","-","*","         7","       116"
"2019","910","Vance County Schools","        85","        11","       129","*","*","       155","       384"
"2019","91B","Henderson Collegiate","        55","         7","         8","-","-","*","        71"
"2019","920","Wake County Schools","     6,614","       819","     2,891","        34","        58","     1,208","    11,624"
"2019","92F","Franklin Academy","        70","        12","        22","-","*","*","       107"
"2019","92G","East Wake Academy","        35","        11","        29","-","*","*","        82"
"2019","92K","Raleigh Charter High School","       105","        30","         6","-","-","*","       142"
"2019","92P","Southern Wake Academy","        11","        17","        29","-","-","        11","        68"
"2019","92T","Triangle Math and Science Academy","        22","        11","*","-","*","         5","        41"
"2019","92U","Longleaf School of the Arts","        24","        10","        14","-","-","         5","        53"
"2019","930","Warren County Schools","        39","        21","        33","*","*","        46","       144"
"2019","93A","Haliwa-Saponi Tribal School","-","-","*","-","-","         5","         9"
"2019","93L","Central Wake Charter High School","*","-","        32","-","-","        38","        71"
"2019","940","Washington County Schools","        29","         6","        36","-","-","        17","        88"
"2019","94Z","Northeast Regional School - Biotech//Agri","        49","-","-","-","-","-","        49"
"2019","950","Watauga County Schools","       110","        38","       111","*","         7","        51","       318"
"2019","960","Wayne County Public Schools","       305","       115","       538","-","         9","       359","     1,326"
"2019","970","Wilkes County Schools","       117","        50","       378","-","         7","       128","       680"
"2019","980","Wilson County Schools","       210","        84","       297","*","*","       212","       810"
"2019","98B","Wilson Preparatory Academy","        11","        10","        21","-","-","*","        45"
"2019","990","Yadkin County Schools","        50","        29","       211","-","*","       102","       394"
"2019","995","Yancey County Schools","        36","         8","        73","*","*","        68","       187"
"2019","-","State Total","    37,665","     9,458","    37,906","       352","       846","    22,141","   108,368"
"2018","00A","NC Connections Academy","         6","-","*","-","-","-","         7"
"2018","00B","NC Virtual Academy","        11","*","        16","-","-","         6","        36"
"2018","010","Alamance-Burlington Schools","       412","       168","       678","         7","        15","       336","     1,616"
"2018","01B","River Mill Academy","         8","         6","        12","-","*","         5","        33"
"2018","01C","Clover Garden","        14","*","        13","-","*","*","        35"
"2018","01D","The Hawbridge School","        10","         5","        10","-","-","         9","        34"
"2018","020","Alexander County Schools","        61","        39","       158","-","        11","        81","       350"
"2018","030","Alleghany County Schools","        17","         7","        35","-","-","        32","        91"
"2018","040","Anson County Schools","        62","        35","        81","-","*","        71","       251"
"2018","050","Ashe County Schools","        37","         5","        41","-","-","       115","       198"
"2018","060","Avery County Schools","        36","        21","        50","-","*","        46","       154"
"2018","06B","Williams Academy (fka Crossnore)","*","-","*","-","-","-","*"
"2018","070","Beaufort County Schools","       128","        23","       270","-","-","       102","       523"
"2018","07A","Washington Montessori","*","-","*","-","-","*","*"
"2018","080","Bertie County Schools","        58","         8","        56","-","*","        50","       175"
"2018","090","Bladen County Schools","        78","        18","       162","         6","*","        88","       355"
"2018","09A","Paul R Brown Leadership Academy","*","*","*","-","-","*","        11"
"2018","100","Brunswick County Schools","       254","        67","       406","*","         5","       206","       940"
"2018","110","Buncombe County Schools","       578","       184","       696","         6","        14","       306","     1,784"
"2018","111","Asheville City Schools","       158","        55","        73","*","*","        47","       337"
"2018","11C","Invest Collegiate - Imagine","*","*","*","-","-","-","         7"
"2018","11D","The Franklin School of Innovation","         5","         5","         7","-","-","         8","        25"
"2018","120","Burke County Schools","       219","        99","       453","*","         5","       211","       990"
"2018","130","Cabarrus County Schools","       938","       272","       730","        18","        17","       420","     2,395"
"2018","132","Kannapolis City Schools","        88","        30","        85","*","-","       154","       360"
"2018","13A","Carolina International School","        31","*","         8","-","-","         5","        48"
"2018","140","Caldwell County Schools","       256","        65","       421","         5","*","       184","       933"
"2018","150","Camden County Schools","        47","        12","        31","-","*","        38","       130"
"2018","160","Carteret County Public Schools","       202","        56","       244","*","-","       120","       624"
"2018","170","Caswell County Schools","        34","        19","       101","-","*","        30","       186"
"2018","180","Catawba County Schools","       303","       149","       552","*","        17","       257","     1,280"
"2018","181","Hickory City Schools","        61","        59","       122","*","         9","        37","       291"
"2018","182","Newton Conover City Schools","        63","        33","        96","*","-","        39","       235"
"2018","190","Chatham County Schools","       208","        65","       238","*","*","       102","       619"
"2018","19A","Chatham Charter","        18","*","        18","-","*","         5","        46"
"2018","19B","Woods Charter School","        21","        13","         9","-","-","*","        45"
"2018","200","Cherokee County Schools","        65","        25","       109","-","-","        78","       277"
"2018","210","Edenton-Chowan Schools","        42","        28","        35","-","-","        35","       140"
"2018","220","Clay County Schools","        28","         9","        27","-","-","        27","        91"
"2018","230","Cleveland County Schools","       300","       118","       426","*","        14","       226","     1,088"
"2018","240","Columbus County Schools","        90","        17","       201","*","*","        88","       401"
"2018","241","Whiteville City Schools","        56","        11","        71","-","-","        29","       167"
"2018","24B","Flemington Academy","*","-","        11","*","-","         8","        21"
"2018","250","Craven County Schools","       274","        78","       371","*","*","       205","       932"
"2018","260","Cumberland County Schools","     1,667","       266","       950","        16","        13","       675","     3,587"
"2018","270","Currituck County Schools","        86","        20","        83","-","         6","       101","       296"
"2018","280","Dare County Schools","       139","        35","        95","*","         7","        61","       340"
"2018","290","Davidson County Schools","       423","       151","       603","*","        13","       280","     1,474"
"2018","291","Lexington City Schools","        69","        25","        68","-","-","        39","       201"
"2018","292","Thomasville City Schools","        55","        15","        52","-","*","        28","       151"
"2018","300","Davie County Schools","       153","        34","       173","-","         6","        73","       439"
"2018","310","Duplin County Schools","       114","        83","       258","*","         5","       150","       611"
"2018","320","Durham Public Schools","       850","       268","       787","         7","        25","       522","     2,459"
"2018","32L","Voyager Academy","        41","        17","        22","-","-","        13","        93"
"2018","32N","Research Triangle High School","        91","-","*","-","-","-","        92"
"2018","330","Edgecombe County Public Schools","        89","        30","       172","         6","-","        96","       393"
"2018","33A","North East Carolina Preparatory School","        10","         5","        24","*","-","         6","        46"
"2018","340","Winston Salem/Forsyth County Schools","     1,554","       436","     1,261","        14","        41","       652","     3,958"
"2018","34B","Quality Education Academy","         8","        12","        13","-","-","*","        34"
"2018","34D","Carter G Woodson School","*","*","        10","-","-","-","        15"
"2018","34H","The North Carolina Leadership Academy","         8","*","         8","-","*","*","        20"
"2018","350","Franklin County Schools","       128","        66","       229","        13","*","       149","       589"
"2018","360","Gaston County Schools","       660","       226","       796","        11","        16","       537","     2,246"
"2018","36B","Piedmont Community Charter","        14","        15","        35","-","*","        13","        80"
"2018","36C","Mountain Island Charter","        41","        17","        24","-","*","        21","       105"
"2018","370","Gates County Schools","        30","*","        42","-","         5","        43","       122"
"2018","380","Graham County Schools","        19","         7","        35","-","-","        26","        87"
"2018","390","Granville County Schools","       137","        61","       230","*","        15","       116","       562"
"2018","39B","Oxford Preparatory High School","        21","         8","        12","*","*","*","        49"
"2018","400","Greene County Schools","        53","         9","       141","-","*","        43","       247"
"2018","410","Guilford County Schools","     2,430","       593","     1,490","        20","        50","       954","     5,537"
"2018","41F","Triad Math and Science Academy","        28","        21","         9","-","-","         8","        66"
"2018","41K","Piedmont Classical High School","        14","        13","        11","*","-","*","        42"
"2018","420","Halifax County Schools","        24","        15","        54","-","*","        65","       161"
"2018","421","Roanoke Rapids City Schools","        47","        24","        84","-","         7","        49","       211"
"2018","422","Weldon City Schools","        38","        12","         8","-","-","        14","        72"
"2018","430","Harnett County Schools","       358","       136","       546","*","*","       355","     1,400"
"2018","440","Haywood County Schools","       161","        25","       208","-","*","       122","       519"
"2018","450","Henderson County Schools","       311","        68","       368","        25","*","       218","       994"
"2018","460","Hertford County Schools","        88","        21","        45","         6","-","        52","       212"
"2018","470","Hoke County Schools","       190","        33","       150","*","         5","       143","       523"
"2018","480","Hyde County Schools","        12","*","         8","-","-","*","        25"
"2018","490","Iredell-Statesville Schools","       650","       157","       526","         9","        11","       376","     1,729"
"2018","491","Mooresville Graded School District","       147","        58","       101","*","*","       119","       429"
"2018","49E","Pine Lake Preparatory","        89","        32","        11","-","*","        12","       146"
"2018","500","Jackson County Public Schools","       127","        10","       118","*","*","        59","       318"
"2018","510","Johnston County Schools","       697","       218","     1,040","         5","         6","       576","     2,542"
"2018","51A","Neuse Charter School","        16","        10","        13","-","-","*","        43"
"2018","520","Jones County Schools","        15","         6","        27","-","*","        39","        89"
"2018","530","Lee County Schools","       155","        34","       289","         9","        14","       202","       703"
"2018","540","Lenoir County Public Schools","        82","        44","       350","*","-","        99","       577"
"2018","550","Lincoln County Schools","       244","        83","       429","*","         6","       136","       900"
"2018","55A","Lincoln Charter School","        78","        35","        28","-","*","         5","       147"
"2018","560","Macon County Schools","        93","        17","       128","*","         5","        77","       321"
"2018","570","Madison County Schools","        35","        19","        55","-","*","        68","       180"
"2018","580","Martin County Schools","        56","        26","        72","-","-","        36","       190"
"2018","58B","Bear Grass Charter School","         8","*","        22","-","*","         8","        42"
"2018","590","McDowell County Schools","        98","        26","       279","*","*","        55","       461"
"2018","600","Charlotte-Mecklenburg Schools","     4,038","       900","     3,449","        35","        72","     1,250","     9,744"
"2018","60B","Sugar Creek Charter","        16","         7","         5","*","-","*","        30"
"2018","60D","Lake Norman Charter","       132","        20","        27","*","-","         5","       185"
"2018","60G","Queens Grant Community School","        22","        11","        65","-","-","*","        99"
"2018","60I","Community School of Davidson","        76","        28","        10","-","-","         5","       119"
"2018","60K","Charlotte Secondary School","        13","         7","        28","-","*","*","        52"
"2018","60V","Charlotte Learning Academy","*","         9","        10","-","-","        10","        30"
"2018","610","Mitchell County Schools","        57","         9","        68","-","-","        23","       157"
"2018","620","Montgomery County Schools","        27","        17","       124","-","*","       109","       279"
"2018","630","Moore County Schools","       268","        75","       515","*","         6","       147","     1,012"
"2018","640","Nash-Rocky Mount Schools","       276","       119","       484","         5","         5","       217","     1,106"
"2018","64A","Rocky Mount Preparatory","        18","*","        52","-","-","         8","        80"
"2018","650","New Hanover County Schools","       748","       159","       771","         8","         5","       272","     1,963"
"2018","660","Northampton County Schools","        17","        20","        27","-","*","        37","       102"
"2018","66A","Gaston College Preparatory","        53","        13","*","-","-","*","        71"
"2018","670","Onslow County Schools","       458","       144","       692","         9","*","       410","     1,717"
"2018","680","Orange County Schools","       194","        66","       174","         7","        10","       107","       558"
"2018","681","Chapel Hill-Carrboro City Schools","       398","       224","       126","*","         5","        91","       848"
"2018","690","Pamlico County Schools","        19","         5","        61","-","-","        18","       103"
"2018","69A","Arapahoe Charter School","         7","-","        16","-","-","        11","        34"
"2018","700","Elizabeth City-Pasquotank Public Schools","       197","         9","        91","-","*","        74","       372"
"2018","710","Pender County Schools","       231","        39","       298","-","*","       103","       672"
"2018","720","Perquimans County Schools","        48","*","        42","-","-","        24","       118"
"2018","730","Person County Schools","        95","        19","       134","-","-","        77","       325"
"2018","73B","Roxboro Community School","        35","        16","        30","-","*","         9","        93"
"2018","740","Pitt County Schools","       552","        72","       798","*","         8","       199","     1,632"
"2018","750","Polk County Schools","        43","        22","        76","-","*","        22","       166"
"2018","760","Randolph County School System","       314","       124","       564","*","        30","       220","     1,254"
"2018","761","Asheboro City Schools","        90","        35","       125","*","         5","        70","       326"
"2018","76A","Uwharrie Charter Academy","        27","*","        71","-","*","        14","       117"
"2018","770","Richmond County Schools","       193","        17","       147","*","        11","       113","       483"
"2018","780","Public Schools of Robeson County","       635","        29","       484","*","*","       448","     1,600"
"2018","790","Rockingham County Schools","       333","        70","       358","*","*","       165","       930"
"2018","800","Rowan-Salisbury Schools","       371","       165","       479","*","        20","       350","     1,388"
"2018","810","Rutherford County Schools","       129","        44","       370","*","*","        62","       608"
"2018","81A","Thomas Jefferson Classical Academy","        45","        16","        22","-","-","-","        83"
"2018","81B","Lake Lure Classical Academy","         6","*","         5","-","-","*","        19"
"2018","820","Sampson County Schools","       118","        63","       246","*","         5","       172","       605"
"2018","821","Clinton City Schools","        51","        25","        86","*","-","        27","       190"
"2018","830","Scotland County Schools","       162","        32","       120","*","*","       107","       426"
"2018","840","Stanly County Schools","       164","        47","       235","*","*","        93","       544"
"2018","84B","Gray Stone Day School","        70","        21","         7","-","*","         5","       104"
"2018","850","Stokes County Schools","       115","        42","       206","*","         5","        78","       447"
"2018","860","Surry County Schools","       118","        62","       296","*","-","       183","       660"
"2018","861","Elkin City Schools","        26","        11","        47","-","-","         8","        92"
"2018","862","Mount Airy City Schools","        23","        18","        49","-","-","        15","       105"
"2018","86T","Millennium Charter Academy","         6","*","        13","-","-","*","        24"
"2018","870","Swain County Schools","        28","        12","        55","-","-","        18","       113"
"2018","880","Transylvania County Schools","        57","        39","       110","*","*","        57","       266"
"2018","890","Tyrrell County Schools","         7","*","        24","-","-","         7","        42"
"2018","900","Union County Public Schools","     1,566","       373","       806","         9","        37","       467","     3,258"
"2018","90A","Union Academy Charter School","        55","        32","        21","-","-","        12","       120"
"2018","910","Vance County Schools","       130","        30","       131","*","*","       190","       485"
"2018","920","Wake County Schools","     6,171","       929","     2,844","        37","        49","     1,095","    11,125"
"2018","92F","Franklin Academy","        71","        16","        24","*","-","         6","       118"
"2018","92G","East Wake Academy","        32","         9","        30","-","*","         7","        79"
"2018","92K","Raleigh Charter High School","       100","        31","*","-","-","*","       136"
"2018","92P","Southern Wake Academy","        23","*","        24","-","-","*","        52"
"2018","92U","Longleaf School of the Arts","        26","        13","        10","-","-","*","        53"
"2018","930","Warren County Schools","        56","*","        49","*","-","        34","       145"
"2018","93A","Haliwa-Saponi Tribal School","*","*","         8","-","*","*","        14"
"2018","93L","Central Wake Charter High School","*","*","        52","-","*","         8","        64"
"2018","940","Washington County Schools","        32","        10","        23","-","-","        32","        97"
"2018","94Z","Northeast Regional School - Biotech//Agri","        60","*","-","-","-","-","        61"
"2018","950","Watauga County Schools","       118","        37","       116","-","         9","        50","       330"
"2018","960","Wayne County Public Schools","       274","       113","       534","*","*","       308","     1,237"
"2018","970","Wilkes County Schools","       115","        55","       418","*","*","       151","       745"
"2018","980","Wilson County Schools","       225","        99","       283","         6","*","       196","       812"
"2018","990","Yadkin County Schools","        58","        21","       214","-","         6","       101","       400"
"2018","995","Yancey County Schools","        38","        19","        65","-","*","        61","       184"
"2018","998","NCDPS Juvenile Education Services","-","-","*","-","-","-","*"
"2018","-","State Total","    38,324","    10,069","    37,674","       405","       775","    19,503","   106,750"
"2017","010","Alamance-Burlington Schools","       471","       142","       582","         6","        21","       339","     1,561"
"2017","01B","River Mill Academy","        10","         8","        13","-","*","*","        35"
"2017","01C","Clover Garden","        16","         6","        16","-","-","*","        42"
"2017","01D","The Hawbridge School","        17","*","        15","-","-","*","        34"
"2017","020","Alexander County Schools","        60","        50","       146","*","         8","        70","       335"
"2017","030","Alleghany County Schools","        22","*","        60","-","         5","        14","       103"
"2017","040","Anson County Schools","        38","        23","        83","*","*","        38","       188"
"2017","060","Avery County Schools","        44","         7","        69","*","*","        17","       142"
"2017","06B","Williams Academy (fka Crossnore)","*","*","*","-","-","-","         7"
"2017","070","Beaufort County Schools","       135","        18","       195","*","*","       102","       455"
"2017","080","Bertie County Schools","        65","        12","        58","-","-","        35","       170"
"2017","090","Bladen County Schools","        87","        33","       122","         5","*","        82","       331"
"2017","09A","Paul R Brown Leadership Academy","*","-","-","-","-","*","         5"
"2017","100","Brunswick County Schools","       252","        69","       399","*","*","       166","       890"
"2017","110","Buncombe County Schools","       579","       218","       720","*","        15","       293","     1,829"
"2017","111","Asheville City Schools","       150","        41","        75","*","-","        45","       312"
"2017","11C","Invest Collegiate - Imagine","*","*","*","-","-","-","        10"
"2017","120","Burke County Schools","       212","        94","       405","*","         8","       178","       899"
"2017","130","Cabarrus County Schools","       818","       301","       819","        12","        16","       335","     2,301"
"2017","132","Kannapolis City Schools","        89","        42","       101","*","*","       102","       337"
"2017","13A","Carolina International School","        15","-","*","-","*","         5","        25"
"2017","140","Caldwell County Schools","       244","       101","       426","*","         6","       141","       920"
"2017","150","Camden County Schools","        40","        10","        41","-","*","        39","       134"
"2017","160","Carteret County Public Schools","       186","        51","       231","         5","-","       109","       582"
"2017","170","Caswell County Schools","        41","        24","        66","-","*","        32","       167"
"2017","180","Catawba County Schools","       355","       145","       545","-","        21","       227","     1,293"
"2017","181","Hickory City Schools","        89","        31","       109","-","*","        32","       263"
"2017","182","Newton Conover City Schools","        71","        23","       124","-","*","        27","       248"
"2017","190","Chatham County Schools","       209","        52","       229","*","-","        95","       586"
"2017","19A","Chatham Charter","        21","         7","        12","-","-","*","        43"
"2017","19B","Woods Charter School","        28","         9","         6","-","-","*","        44"
"2017","200","Cherokee County Schools","        54","        38","       102","-","-","        75","       269"
"2017","210","Edenton-Chowan Schools","        45","        16","        45","-","*","        23","       132"
"2017","220","Clay County Schools","        17","        11","        33","-","-","         9","        70"
"2017","230","Cleveland County Schools","       288","       137","       424","        12","        31","       214","     1,106"
"2017","240","Columbus County Schools","       109","        30","       237","-","-","        71","       447"
"2017","241","Whiteville City Schools","        51","        14","        73","-","-","        29","       167"
"2017","24B","Flemington Academy","*","*","         9","-","-","-","        11"
"2017","250","Craven County Schools","       285","        80","       343","        11","*","       206","       928"
"2017","260","Cumberland County Schools","     1,436","       319","       985","        19","        15","       752","     3,526"
"2017","270","Currituck County Schools","        93","        11","        83","-","        19","       102","       308"
"2017","280","Dare County Schools","       115","        48","       110","-","*","        68","       344"
"2017","290","Davidson County Schools","       433","       173","       536","*","        19","       203","     1,365"
"2017","291","Lexington City Schools","        56","        10","        61","-","-","        15","       142"
"2017","292","Thomasville City Schools","        41","         7","        40","-","-","        36","       124"
"2017","298","Deaf and Blind Schools","-","-","         9","-","-","*","        12"
"2017","300","Davie County Schools","       144","        48","       156","*","         6","        75","       431"
"2017","310","Duplin County Schools","        96","        60","       302","*","*","        96","       559"
"2017","320","Durham Public Schools","       896","       256","       703","        17","        21","       396","     2,289"
